endTime,artistName,trackName,msPlayed;
2020-09-26 15:44,Major Lazer,Trigger,171986;
2020-09-26 15:48,Boy In Space,Forever Young,211680;
2020-09-26 15:51,SHY Martin,Slow,163547;
2020-09-26 15:53,Lucas Estrada,Blinding Lights,130899;
2020-09-26 15:56,John K,6 months,216937;
2020-09-26 16:00,Juice WRLD,Smile (with The Weeknd),196180;
2020-09-26 16:02,Bryce Vine,La La Land - Acoustic,137195;
2020-09-26 16:05,Alec Benjamin,Six Feet Apart,173705;
2020-09-26 16:08,Boy In Space,u n eye,162775;
2020-09-26 16:10,SHY Martin,can I call you back?,153058;
2020-09-26 16:13,Julia Michaels,17,182800;
2020-09-26 16:17,Billie Eilish,my future,208155;
2020-09-26 16:21,Rhys Lewis,No Right To Love You,238066;
2020-09-26 16:31,Why Don't We,What Am I,184665;
2020-09-26 16:34,Clinton Kane,i don't want to watch the world end with someone else,184505;
2020-09-26 16:37,Aaron Carpenter,Chase,198498;
2020-09-26 16:41,Alex Holtti,Cold Hearted,206026;
2020-09-26 16:44,Selena Gomez,Crowded Room (feat. 6LACK),186459;
2020-09-26 16:48,The Weeknd,Scared To Live,191306;
2020-09-26 16:50,Fiji Blue,Space Makes Me Sad,136419;
2020-09-26 16:52,Curtis Waters,The feelings tend to stay the same,148617;
2020-09-26 16:56,Gavin Haley,The World Keeps Spinning On,186014;
2020-09-26 16:59,Camila Cabello,Easy,194686;
2020-09-26 17:02,BENEE,Glitter,180146;
2020-09-26 17:06,Sasha Alex Sloan,Lie,209131;
2020-09-26 17:27,Tate McRae,stupid,172915;
2020-09-26 17:30,Trevor Daniel,Past Life (with Selena Gomez),186480;
2020-09-26 17:34,Madison Beer,Selfish,223270;
2020-09-26 17:37,Sam Fischer,This City,194853;
2020-09-26 17:41,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687;
2020-09-26 17:43,Bazzi,Young & Alive,160465;
2020-09-26 17:48,Ariana Grande,Stuck with U (with Justin Bieber),228482;
2020-09-26 17:51,Tate McRae,you broke me first,169265;
2020-09-26 17:55,Jaymes Young,Happiest Year,228442;
2020-09-26 17:58,Alexander 23,IDK You Yet,184638;
2020-09-26 18:01,Labrinth,Still Don't Know My Name,153294;
2020-09-26 18:04,Natalie Taylor,Surrender,183103;
2020-09-26 18:07,SHAED,Trampoline (with ZAYN),184280;
2020-09-26 18:10,Surf Mesa,ily (i love you baby) (feat. Emilee),176546;
2020-09-26 18:13,Bazzi,Renee's Song,130545;
2020-09-26 18:16,John K,if we never met,144426;
2020-09-26 18:18,Christian French,head first,154960;
2020-09-26 18:21,Marshmello,Be Kind (with Halsey),172761;
2020-09-26 18:25,Lewis Capaldi,Before You Go,215106;
2020-09-26 18:28,Lauv,Love Somebody,142773;
2020-09-26 18:31,Khalid,Eleven (feat. Summer Walker),206080;
2020-09-26 18:34,Bazzi,I Don't Think I'm Okay,176250;
2020-09-26 18:37,Alec Benjamin,Oh My God,187727;
2020-09-26 18:40,Jeremy Zucker,not ur friend,174520;
2020-09-26 18:43,Kina,Feel Again (Feat. Au/Ra),139354;
2020-09-26 18:46,Sam Smith,To Die For,193795;
2020-09-26 18:50,Lauv,Modern Loneliness,252337;
2020-09-26 18:55,Billie Eilish,everything i wanted,245425;
2020-09-26 19:31,AJ Mitchell,Slow Dance,174740;
2020-09-26 19:34,Maximillian,Ripples,195404;
2020-09-26 19:37,Like Mike,Put Your Lips,160879;
2020-09-26 19:39,Kina,Wish I Was Better,140571;
2020-09-26 19:42,Phil Good,Living With No One,173666;
2020-09-26 19:45,Lauv,Love Like That,184556;
2020-09-26 19:49,Justin Bieber,Intentions,212868;
2020-09-26 19:52,Ali Gatie,Say to You,194107;
